                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.60004,                0.48061,                  1.001,                0.94327,                 0.9657,                0.98807,                0.86391,                0.52439,                0.34063,                0.86769,              0.0097644,              0.0097644,              0.0097644
                    121,                0.62147,                0.49514,                0.99194,                0.94291,                0.94735,                0.98614,                0.85512,                0.52251,                0.35382,                0.86913,              0.0097624,              0.0097624,              0.0097624
                    122,                0.62765,                0.49149,                 1.0066,                0.93768,                0.95938,                0.98528,                0.86093,                0.52569,                0.36582,                0.87087,              0.0097604,              0.0097604,              0.0097604
                    123,                0.60168,                0.49803,                0.99476,                0.94692,                0.95255,                0.98594,                0.85927,                0.52263,                0.35085,                0.86316,              0.0097584,              0.0097584,              0.0097584
                    124,                 0.5881,                0.47706,                0.98877,                0.97467,                0.94464,                0.98673,                0.85755,                0.52245,                0.35072,                 0.8624,              0.0097565,              0.0097565,              0.0097565
                    125,                0.59702,                 0.4819,                0.99774,                0.96325,                0.94782,                 0.9865,                0.87139,                0.50655,                0.35134,                 0.8569,              0.0097545,              0.0097545,              0.0097545
                    126,                0.60802,                 0.4668,                 1.0004,                0.93059,                0.96798,                0.98679,                0.86202,                0.52318,                0.37292,                0.86788,              0.0097525,              0.0097525,              0.0097525
                    127,                0.60631,                0.47823,                  0.996,                0.96077,                0.94747,                0.98783,                0.87283,                 0.5067,                0.34754,                0.85625,              0.0097505,              0.0097505,              0.0097505
                    128,                 0.6101,                0.48502,                0.99257,                0.95521,                0.95261,                0.98685,                0.86034,                 0.5192,                0.37204,                0.86664,              0.0097485,              0.0097485,              0.0097485
                    129,                 0.6046,                0.48423,                0.99732,                0.97343,                0.93281,                0.98826,                0.86721,                0.52347,                0.34276,                0.86934,              0.0097466,              0.0097466,              0.0097466
                    130,                0.58669,                0.46219,                0.98927,                0.96696,                0.95214,                0.98976,                0.87046,                0.51746,                0.33995,                0.87148,              0.0097446,              0.0097446,              0.0097446
                    131,                0.59134,                0.51238,                0.99215,                0.94613,                0.97489,                0.98927,                0.86316,                0.52169,                0.33501,                0.86944,              0.0097426,              0.0097426,              0.0097426
                    132,                0.60974,                0.46984,                 1.0036,                0.96486,                0.94253,                0.98868,                0.86618,                0.52902,                0.34902,                0.87286,              0.0097406,              0.0097406,              0.0097406
                    133,                0.59669,                0.48387,                0.99695,                0.95634,                0.95546,                 0.9882,                0.87361,                0.50969,                0.33595,                0.86496,              0.0097386,              0.0097386,              0.0097386
